MsgID.LOCAL_POSITION,6689.8350000,-0.0327713,0.5061775,-0.0815789
MsgID.LOCAL_VELOCITY,6689.8350000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957386,37.7932812,0.0810000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,6690.0860000,-0.0181094,0.4920629,-0.0540142
MsgID.LOCAL_VELOCITY,6690.0860000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957387,37.7932813,0.0540000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957443,37.7932815,0.0000000
MsgID.LOCAL_POSITION,6690.3360000,-0.0199850,0.3031494,-0.0180455
MsgID.LOCAL_VELOCITY,6690.3360000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957409,37.7932813,0.0180000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957421,37.7932799,-0.0150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,6690.5860000,-0.1731486,0.1892074,0.0155022
MsgID.LOCAL_VELOCITY,6690.5860000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957421,37.7932805,-0.0390000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,6690.8370000,-0.1139386,0.1952506,0.0394318
MsgID.LOCAL_VELOCITY,6690.8370000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957404,37.7932807,-0.0460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
